discourse_text,discourse_type
"In comparison, many other people may disagree and say that using a phone could be helpful. Based upon research, people claim there are great benefits to using your cell phone while driving.",Counterclaim
I understand that people may have jobs that may require them to use their phones while driving,Counterclaim
People state that hands-free set is security since individuals can drive utilizing two hands.,Counterclaim
"You may say ""Why not just use a map""?",Counterclaim
"Phones are not always a bad thing in cars, when following the right protocols ",Counterclaim
It maybe argued that people need their phones in dire emergencies. ,Counterclaim
"While cellphones are very convenient,",Counterclaim
"
The reason it could be help full is that it would be easier to call for roadside assistances.",Counterclaim
Many people think they should be safe if they only check their phones for a short period of time.,Counterclaim
"Now you might be thinking, ""What if there's an emergency, and I need to be contacted immediately?"" ",Counterclaim
While some may argue that the use of hands-free devices reduces the risk of a crash,Counterclaim
People might argue that they should have their own choice whether to use a cell phone while driving ,Counterclaim
"Whether or not you believe using your phone while operating a vehicle is as dangerous as it's portrayed to be,",Counterclaim
A large number of drivers do not believe that their driving performance is impacted by the usage of their cellphones,Counterclaim
"Citizens are not entirely at fault. According to the National Safety Council, cell phone use while driving is under-reported by law enforcement. This, in turn, means that too many offenders are only given warnings and no punishment for their reckless behavior.",Counterclaim
In addition to not using your phone in an operating vehicle there are a few reasons on why you should. Well first off the driver should not be the one to hvsicallv use the ohone ut a resoonsi le ad It should.,Counterclaim
 But if it's an emergency call you should answer ,Counterclaim
" But, the accidents percentages in Atlanta and Gwinnett county has decreased by 30% that's a good start",Counterclaim
Some people would say is sending that 1 small text important that causing your life or that other person life,Counterclaim
 People believe that since you are not texting on the phone that it should be okay to be on the phone,Counterclaim
"Using a cell phone while driving is dangerous and not advisable, it provides the convenience of tackling emergency situations , listening to music through hands-free, and tracking routes. ",Counterclaim
Opponents say that cell phones are good because they give an opportunity to make a call in case of emergency. ,Counterclaim
Know yes there still will be car crash happening,Counterclaim
Opponents whose work depends on a cell phone like lawyers or businessmen say that they always must be available to answer the phone to keep their business running. ,Counterclaim
Opponents say that hands-free set is safety because people can drive using two hands. ,Counterclaim
Opponents say that cell phones are good because they give an opportunity to make a call in case of emergency ,Counterclaim
"Despite of a danger, people still use cell phones because they want to be always available and keep in touch with other people.",Counterclaim
"Also, they think that hand-free set is safe because they can drive using two hands.",Counterclaim
"Moreover, they use arguments that cell phones are necessary in emergency situations ",Counterclaim
Opponents whose work depends on a cell phone like lawyers or businessmen say that they always have to be available to answer the phone to keep their business running. ,Counterclaim
Opponents say that hands-free set is safety because people can drive using two hands. ,Counterclaim
Opponents say that cell phones are good because they give an opportunity to make a call in case of emergency ,Counterclaim
Sur vehicles have air bags,Counterclaim
"Though texting and driving caused many injuries and deaths, there are still people who don't think it's a problem and are confident that they can use their phone and drive simultaneously ",Counterclaim
"Some argue that in some cases, people need to check their phone or be on it while on the road, for directions or informing whoever where they are. ",Counterclaim
"Additionally, in the other hand some could argue that people should be able to use their phones while driving. Due to phones being used for navigation or for getting in contact with someone while they are driving.",Counterclaim
"Others may believe that they can do two things at one time, which is using their phones while driving ",Counterclaim
"Even if that is to be said, there are still people that are confident enough to multi-task and risk the chances",Counterclaim
"Yes, sometimes it can be dangerous ",Counterclaim
"Despite the danger, people still use cell phones because they want to always be available and keep in touch with other people ",Counterclaim
"Also, they think that a hand-free set is safe because they can drive using two hands.",Counterclaim
"However, they use arguments that cell phones are necessary in emergency situations ",Counterclaim
Opponents whose work depends on a cell phone like lawyers or businessmen say that they always have to be available to answer the phone to keep their business running. ,Counterclaim
Opponents also say that a hands-free set is safe because people can drive using two hands,Counterclaim
Opponents say that cell phones are good because they give an opportunity to make a call in case of emergency.,Counterclaim
"Even with those high numbers, people still choose to be on a cell phone while managing with a vehicle on the road. Some people believe that it is safe to use a phone while driving, or that ""nothing will happen to them"" ",Counterclaim
"Although there has been a decrease of deaths of people texting and driving, people still use some type of electronic, such as a global positioning system (GPS), to navigate and take others around.",Counterclaim
"Despite of a danger, people still use cell phones because they want to be always available and keep in touch with other people. Also, they think that it is safe because they can drive using two hands or there knee at times . however, they use arguments that cell phones are necessary in emergency situations.

Although some people support using cell phones while driving ",Counterclaim
people who work depends on a cell phone like lawyers or businessmen say that they always have to be available to answer the phone to keep their business running. ,Counterclaim
"However, I believe that using your phone to call is not hazardous because you are not focused on the screen, therefore it does not obstruct your view of the road",Counterclaim
"Many people would argue that you can't stop people from using phones while driving, ",Counterclaim
While a study done by the University of Utah displays evidence that using these hands free devices can incapacitate a driver even more than alcohol ,Counterclaim
There are many reason on why texting while driving is very useful ,Counterclaim
 I understand that restricting cell phone usage while driving altogether isn't the best means for solving the problem. ,Counterclaim
While people with high experience may think they are exempt ,Counterclaim
"What apps are included in these ""distractions""? Should GPS count? GPS should count for 2 reason. While GPS has been very beneficial in the 20 century",Counterclaim
Most people would say it's not as dangerous or that if you're good at it then you can use your phone while you drive ,Counterclaim
"While some people really can multitask with a phone while operating a vehicle, ",Counterclaim
Some may argue that it's okay to text & drive if you have a self driving car (Requires minimal driver's assistance) ,Counterclaim
"People tend to think you should be able to use your phone while driving, not for texting or phone calls, but for directions or a GPS.",Counterclaim
 cell phones also has many positives as it increases the way many people interact with one another. Google maps and different other apps can be very beneficial when it comes to finding specific locations. ,Counterclaim
"Yes, your cell phone might be small",Counterclaim
" I understand that sometimes your family members or important calls may call needing you to stop somewhere on the way home, or you think it may be an emergency.",Counterclaim
"Also, they think that hand-free set is safe because they can drive using two hands.",Counterclaim
"Moreover, they use arguments that cell phones are necessary in emergency situations ",Counterclaim
People whose work depends on a cell phone like lawyers or businessmen say that they always have to be available to answer the phone to keep their business running. ,Counterclaim
"
Although cell phones have not been around for a very long time, they have become a key part of our lives. People use their cell phones for just about everything. ",Counterclaim
Even though I feel people should be able to use their phones I see where people's concern comes from.,Counterclaim
"They say the reason they do this is because they feel as if they are safe and wont crash,",Counterclaim
Some people feel as if sending a simple text won't do any harm so it's fine to respond or if someone is calling they should pick it up rather than let it ring. ,Counterclaim
"On the hand, some people may disagree and say that drivers should be able to use their cell phone while drivers. These people may believe that if you drive while texting that your sense of alertness may become better and make you better at multitasking since you have to do both at the same time",Counterclaim
cell phone like lawyers or businessmen say that they always have to be available to answer the phone to keep their business runni,Counterclaim
Opponents say that hands-free set is safety because people can drive using two hands. ,Counterclaim
Opponents say that cell phones are good because they give an opportunity to make a call in case of emergency. ,Counterclaim
Some might think that driving under the influence of drugs/alcohol is worse ,Counterclaim
Some may argue that using a cellular device should be allowed on the pretense that the driver is using the device as a GPS.,Counterclaim
Although using your phone while driving can be deadly it can be useful. Using your phone to navigate can be very useful and find directions. It can also be used to play music and keep you entertained while driving ,Counterclaim
"Although, most drivers support the ban of hand-held cell phone use and texting,",Counterclaim
"Despite of the disadvantages or dangers of texting and driving, it does have a few advantages such as; navigation, provides help by making emergency contacts if in a dangerous situation and provides information about weather, traffic, or roadside accidents. ",Counterclaim
"However, i believe most drivers use cell-phones may be having important calls from family, or co-workers saying they need you to fill in for them.",Counterclaim
Many people argue that having a bluetooth will make it easier for them to stay on the phone while staying focused on the road while driving. they also say that it's more useful to them.,Counterclaim
I do understand that sometimes your spouse may call needing you to stop somewhere on the way home or you think it may be an emergency.,Counterclaim
Some argue due to their occupation they have to always be available to answer the phone.,Counterclaim
Some may argue that cell phone usage should be allowed by drivers when operating a vehicle with certain restrictions.,Counterclaim
"Texting while driving is very dangerous. It could put the driver's life at risk but when there is an emergency, the driver should be able to attend that emergency but a safe and lawful way.",Counterclaim
"This is simple to disregard, and most drivers don't even know they have such kinds of apps on their devices. ",Counterclaim
"Still, even with the price of a hefty fine, and in some cases, jail time, people still continue to text and drive.",Counterclaim
although cellphones are not the only reason that people get into car accidents ,Counterclaim
Some argue that the use of phones has become essential to the average driver and that both activities require so much time that they must overlap on each other's time. I would agree with those people.,Counterclaim
"In 2017 the ""Hands Free Law"" had been issued. Which means drivers are allowed to use hand free devices only while being behind the wheel of a car and being completely free of a device. Although people may think the hands free law has prevented less accident",Counterclaim
"Many would agree that they are able to multitask while driving, to include answering calls, checking social media, and texting while driving ",Counterclaim
"Opponents think that creating laws banning someone from using cell phones while driving, would just make drivers mad and they would feel like this is an infringement of their rights as American's ",Counterclaim
"If you are using a cell phone for business purposes it is understanding. Business people are very busy so as that being said, a lot of people do business on their phone a lot",Counterclaim
"Although many have wrecked maybe because of a cellphone, the bad people are still going to use their phone regardless",Counterclaim
But I feel as if people are still going to get on their phones no matter the law. ,Counterclaim
"Although using a cell phone is harmful to a person while driving, sometimes in the case of an emergency, one must use their cell phone in order to receive calls.",Counterclaim
I do understand that sometimes someone like your family may call you needing you to stop somewhere on the way home or you think it may be an emergency ,Counterclaim
There are some people out here that thinks they know how to text and drive like pro. ,Counterclaim
"I know what you're thinking now; you're probably saying something to yourself like:

""ugh. I've heard that many times but it hasn't happened to me, because I'm not that reckless and I pay good attention"" but, how would you feel knowing that the odds aren't that low???",Counterclaim
"On the other hand, many people believe that their phones are needed while they drive.",Counterclaim
"If you want to be able to use any device while driving , I think you should get something that's safer to use during your time of driving. ",Counterclaim
Yes there is a hands free law that you can use ,Counterclaim
"
However, some people will try to debate that they need their phone, or it was important,",Counterclaim
"Although cell phones may be used in a beneficial manner while driving, such as GPS use, crime reporting, or roadside assistance,",Counterclaim
Opponents say that hands-free set is safety because people can drive using two hands.,Counterclaim
People try to say that teens or novice drivers are the reason for all these accidents. ,Counterclaim
"I understand that there are some things that need attention, ",Counterclaim
"Although, there are grave negative impacts of using cell phones during driving it is pertinent, for the sake of arguments, to present benefits also. The most important benefit of cell phones during driving is again the security factor. ",Counterclaim
This still doesn't stop people from using their phones ,Counterclaim
"Most people believe since they been driving and texting for so long that the possibilities of them getting in a car accidents low.
",Counterclaim
" According to an NPR article on multitasking, when you are ""Switching from task to task, you think you're actually paying attention to everything around you at the same time. But you're actually not ",Counterclaim
"Teens swear they can multitask
",Counterclaim
"There are lots of ways you can use your phone though.

If you connect your phone to your car then, you will be good. Most teens like to buck and do what they want to do ",Counterclaim
"We as young people, we think everybody is disrespecting us, ",Counterclaim
"I'm not gone lie, some teens do know how to text and drive. They know how to Multi-task and everything. ",Counterclaim
I think they should not be abandoned from using their phones while in the car,Counterclaim
I think we should be able to have phones in the car.,Counterclaim
People sometimes might argue with the fact they can multi-task well ,Counterclaim
The only instance to which a person should be using a cell phone while driving should be by law enforcement or if you are a passenger in the vehicle.,Counterclaim
While texting and driving is dangerous,Counterclaim
" even if the car crash wasnt fatal on your end,",Counterclaim
"there are some good with drivers having cell phone usage.
",Counterclaim
Some people may feel uncomfortable without their cell phone mainly because they are so use to having their cell phone in hand while driving,Counterclaim
Although it is not an immediate reform to the problem ,Counterclaim
"The use of phones has changed the lives of many to the best or worst occasions, meaning that phones are good for us only at certain times, not all the time.
",Counterclaim
"Now, you might be thinking ""Some cars now have the ability to connect the phone to the speakers via bluetooth, which gives the ability to talk on the phone while not being in contact.""",Counterclaim
this may pose a risk to people who are distracted easily. They may want to use their phones to do other things ,Counterclaim
"If someone in the car suddenly has a heart attack, are they supposed to just drive faster and hope they make it to the hospital in time? Whoever is driving may need to call the police. Even if something bad does not happen in the car but it happens outside of the car. What if someone drives past a fire or they see a suspicious object on the side of the road; are they supposed to just assume that someone else will see it too?",Counterclaim
Despite the fact that laws have been passed to restrict drivers from using phones while operating,Counterclaim
"Even though it might have seemed like a better idea at the time,",Counterclaim
Although distracted driving is very dangerous and has resulted in many casualties and fatalities ,Counterclaim
"Drivers however, underestimate their risks of getting into an accident while using their cell phone on the road. Companies also have this break with reality. They promote things like hand free devices,",Counterclaim
"Now I know what your going to say ""oh but technology today provides hand free phone usage in vehicles ",Counterclaim
Some teens will tell you that they know how to drive while using their phone at the same time or they would probably even tell you that they have been looking at their phone while driving for so long that they have not been in an accident ,Counterclaim
"On the other hand, you may look at your phone to help you out instead of letting your phone distract you while driving a vehicle. ",Counterclaim
"One exception, even though it is still dangerous, that you can look at your phone for not too long is if you are using your GPS to help you get to your destination. On everyone's phone there is a GPS app and a lot of people use that to their advantage to help them get to where they want to be if they have never been there before or even the opposite if they are somewhere that they have never been before they can use their GPS to help them guide them back home. ",Counterclaim
" Despite of a danger, people still use cell phones because they want to be always available and keep in touch with other people. ",Counterclaim
"Opponents whose work depend on cell phones such as lawyers, always have to be able to answer the phone to keep their business running ",Counterclaim
Some people predict that hand-free set is safe because people can drive using two hands. ,Counterclaim
People argue cell phones are good because they give an opportunity to make a call in case of emergency ,Counterclaim
" Phones are very useful in daily life,providing the internet,a sense of security, and communication between family and friends",Counterclaim
"Vehicles was supposed to make lives easier with transportation, and create a better society. ",Counterclaim
"Although phones shouldnt be used for a lot of things while in the car, this shouldnt expel them from being used in all forms in the car. Accidents may very well happen because of ""text and drivers"", so maybe they shouldn't text and drive.",Counterclaim
"Although some believe that a cellular device is perfectly fine to use while driving,",Counterclaim
"Some excuses may be, my mom is sick, I was checking on a family member, I was calling into work, etc... ",Counterclaim
"Laws and different measures have been taken throughout the world to stop people from picking up the phone but sadly, people still have accidents.",Counterclaim
Opponents whose work depends on a cell phone like lawyers or businessmen say that they always have to be available to answer the phone to keep their business running. ,Counterclaim
Opponents say that hands-free set is safety because people can drive using two hands. ,Counterclaim
Opponents say that cell phones are good because they give an opportunity to make a call in case of emergency.,Counterclaim
Even though this experience can be a disturbing thing in someone's life. There are also some reasons why a person should use their phone while driving.,Counterclaim
There are lots of advertising about phones and the cool things that they can do. And that you can test without having to stop looking at the road,Counterclaim
"It's easy for us to think that nothing can never happen to use if we text and drive at the same time, because it may have never happened to you",Counterclaim
Cellphones are really use full to use and always will be useful. Because they help use in our everyday life to get to places talk to our families that don't live close to use. It helps use be able to work and have good jobs,Counterclaim
Opponents who work depends on cell phones like lawyers or businessmen say that they always have to be available to answer the phone to keep their business running,Counterclaim
"One the other hand if there is an actual emergency and you need to answer it pull over as soon as possible.
",Counterclaim
Now there are some moments when you just have to use your phone. Like when you are switching a song. Or even when you know its an emergency and you just have to answer it. ,Counterclaim
But only way I say it is okay is if you're using your phone for directions and your using a stand for it and not holding it in your hand or if your phone is hooked up with your car. ,Counterclaim
If you are texting and driving it's not a good idea unless if it's something extremely important for an example like important call very important and you need to know what it is or an important text that is necessary to know. ,Counterclaim
"Now some people may say, ""Talking on the phone while driving isn't bad"".",Counterclaim
Many say that hands-free set is safety because people can drive using two hands.,Counterclaim
Opponents say that cell phones are good because they give an opportunity to make a call in case of an emergency ,Counterclaim
"Although phones have had its positive advantages,",Counterclaim
"Although texting and driving puts you at risk of fines, jail time, or even DEATH, there are other alternatives; like the ""Hands-Free Driving"" that persuades people into buying phone stands for their cars ",Counterclaim
"It is true that everyday more and more businesses conduct their activities online and most jobs require employees to be on their phones for a large amount of time, prospecting and client outreach may come at an unexpected time, and some may argue that the act of being the phone while driving is often times necessary to conduct business ",Counterclaim
While mobile devices are useful in everyday life ,Counterclaim
People who text and drive think it's safe to do because they look up and down,Counterclaim
"Surprisingly, there are still people out there texting and driving. These people believe that they are responsible enough to avoid wrecks and crashes (debate). Others think that since they are Americans they should be able to have the freedom to choose (debate). ",Counterclaim
"What are possible reasons when driving with a cellphone? There are at least 3 if you're a service driver and you need (directions). Two is in case of last minute call (urgent phone-call). Three, if your receiving an important phone call",Counterclaim
"As I mentioned earlier, the use of cell phones while driving can be a safety issue.

I do realize that there have been multiple accidents, some fatal, due to the use of a phone while driving.

I agree that distracted driving puts everyone on the road at an increased risk for accident. ",Counterclaim
"I do think that my generation is a little too addicted to their phones.

An addiction to anything can become a problem. ",Counterclaim
"However, phones are the main resource for communicating which is essential in every aspect throughout the day. Whether it's to make a business call, call your loved ones or respond to a notification, cellular devices are always stuck to us like a magnet.",Counterclaim
I know that other teens will disagree with me that they need to have their phone in their hand while driving just in case of an emergency,Counterclaim
Many teens also say that their parents need them to contact them if something bad happens to them while they are driving,Counterclaim
A lot of people does not approve of the law ,Counterclaim
People have their phones on every day. They act as if they cannot live without their cell phone.,Counterclaim
Is it really that important to keep the cellphone while taking it? Some drivers nowadays have their cell phones while driving and find it as a harmless act.,Counterclaim
People believe that checking their phone while driving is only a fleeting activity and doesn't be ,Counterclaim
 you might think that it's okay to look at your phone for a second,Counterclaim
All these are options are not the answer to the solution,Counterclaim
"But certain circumstances it can be understandable. For example, say that a loved one called for something that may be urgent or cannot be postponed then safely stop somewhere off the road to get out of harm way and answer it. These moments can be crucial to the life of another.",Counterclaim
"Some people believe that using a phone while driving isn't the reason wrecks happened. Some say the cause comes from people who get too into whatever they're looking at or they get too occupied with the conversation with the other person that's on the other end of the phone.

Which makes them take their attention of the road which leads to people not seeing a vehicle pulling out in front of them and then they rear end each other.",Counterclaim
There are those who will argue that cell phones aren't any better than any other distractions such as playing with the radio or looking for something in the car while on the road.,Counterclaim
"Admittedly, teens love their phones. We can't seem to exist without them.",Counterclaim
Despite the danger that cell phone causes some people argued that it is necessary to use cell phone for emergency reason.,Counterclaim
"People who work depend on cell phone like businessman, lawyers, etc. says that they all ways need to be accessible to their phone in order to keep business going and to secure client ",Counterclaim
"Not using your phone while driving can suck though,",Counterclaim
"The main advantage to avoid using cell phone during driving is ensuring safety of driver, vehicle, and other people driving on the road ",Counterclaim
"Although, there are grave negative impacts of using cell phones during driving it is pertinent, for the sake of arguments, to present benefits also.",Counterclaim
"According to a recent study, cellphone bans are not effective in stopping accidents as a result of distracted driving. ",Counterclaim
People say that hands-free sets are an example of practicing safety because people can drive using two hands and still have their phones in sight.,Counterclaim
Phones have connected us at all times ,Counterclaim
"Exceptions are provided for emergency personnel, drivers responding to emergencies, and drivers who are fully parked.",Counterclaim
Numerous drivers use navigation applications installed on their phones and acknowledge that they are more efficient than the ones that may come in the system within their vehicles.,Counterclaim
"Even though talking on a cellphone may be less distracting than other activities, eating while driving,",Counterclaim
Even though some people would say that it is very distracting from the road which it can be ,Counterclaim
I understand sometimes it could be an emergency,Counterclaim
"On the other hand, others may go against, and say that Drivers should be able to text and drive. For example if people learn how to text and drive there will be less accidents. In that learning process people can crash the car from being too cautious do to slamming on the breaks trying to stop. ",Counterclaim
"Many advocates for the way things used to be will say that any use of the phone should be prohibited, that any use at all can cause a wreck.",Counterclaim
Personally I feel the reason many adults use their cell phones while driving is because they feel very experienced. People who have been driving for over twenty years are without a doubt typically more experienced than new drivers ,Counterclaim
I'm fully aware that some people actually use their phones for good while driving. ,Counterclaim
"Although people may say ""It was just a one time thing, I barely text while driving."" ",Counterclaim
"The only instance where someone may be allowed to use the phone, is for gps use.",Counterclaim
"The hands free device does not guarantee safety either. While the distraction from using such technology is significantly smaller, it might still cause an accident",Counterclaim
I believe that sometimes you may really need your phone for emergencies,Counterclaim
Some people may say that it is necessary to keep a phone around while driving in case of emergencies.,Counterclaim
"Some people think that texting on a cellphone is considered the only thing when they say ""stop using your cell phone and driving"".",Counterclaim
While many may complain about how driving while using your phone is dangerous and this and that ,Counterclaim
Hit and Run drivers do exist.,Counterclaim
"Yes, although many people have stated that teenagers get distracted while driving due to their phones",Counterclaim
"Some people have emergencies and when they get a phone call, they put their phone on speaker, put the phone down, and then talk",Counterclaim
"Texting and driving being dangerous enough, people also tend to talk on the cell phone while driving, which some people think is less dangerous than texting and driving",Counterclaim
"There are some exceptions to talking on the phone and driving such as having speaking on the phone and connecting it to the car via, bluetooth ",Counterclaim
"A lot of excuses for people are ""oh, i can multitask"" or ""i know what i'm doing"" ",Counterclaim
One argument against the use of phones in vehicles is that they encourage distracted and dangerous driving. ,Counterclaim
Now I do understand if you absolutely must call someone like the cops or if your wife is having your child if it is absolutely necessaire use the phone as much as you'd like.,Counterclaim
"Phones are helpful while driving for things like navigation or music,",Counterclaim
"According to the same CBS article, most of the people who do use their phones believe they're good multi-taskers.",Counterclaim
"A study done by Harvard University found that using cell phones while driving, ""Decreased emergency response times/improved life-saving outcomes""(Ropeik,3). This is a common argument habitual cell phone users make. They say that they will be able to report an emergency or accident faster if they have their cell phones already in their hands, ",Counterclaim
"Another argument made is, ""I was at a stoplight!"" (Schule, 5). This is one of the most common excuses made by drivers caught using their phones. They believe if they're stopped that they aren't a danger,",Counterclaim
"Sometimes it's not their fault, though. Some teens aren't taught how to be responsible with their electronics, and later in life, their eyes are still glued to that screen.",Counterclaim
"Some people may ask, ""What if the police don't catch everyone who uses their phone while driving?""",Counterclaim
 People might think it isn't a big deal to drive while on the phone,Counterclaim
 I understand emergencies happen and you need your phone,Counterclaim
I do believe that people should be allowed to make phone calls via voice,Counterclaim
On the other hand some people in the world are going to have to use their phones as a job.,Counterclaim
"Another reason not to allow phones in the hands of drivers is that, although distraction is a large issue, even if you argue that you can pay attention and multitask well enough,",Counterclaim
 Some people might say i just picked up my phone to check,Counterclaim
"I do understand that sometimes your spouse may call needing you to stop somewhere on the way home, or you think it may be an emergency. ",Counterclaim
"you may say ""I know what I'm doing""",Counterclaim
"There are only a few occasions where phone use while driving should be tolerable. If there is an emergency where you must contact the police, then yes you should use your phone. Or if there is a family emergency then yes you should use your phone.",Counterclaim
"In 2009 they banned the use of cell phones while driving. The number of car accidents hasn't gone down very much sense.
",Counterclaim
An sort good option would be to use speaker phone ,Counterclaim
 Another option would be to install a phone service available in newer vehicles such as OnStar. To use this option the driver must say the phone number or store the name of the contact you want to call.,Counterclaim
"Some of you might think, ""well what if we work for a living and need to get to work?"" ",Counterclaim
Although some people may argue that people who don't own personal cars will use public transit instead and societies without personal cars will not have a decreased obesity. ,Counterclaim
Walking will take longer,Counterclaim
The only repercution that you have to worry about with walking is the rain. ,Counterclaim
" alot of people would lose their jobs due to limited cars, such as mechanics, car dealers, etc. mechanics will go out of business because of no business and so will the car dealers, and if cars dealers dont sell many cars, the company might go out of business too,",Counterclaim
I understand that some people live to far away from where ever they are going to ride a bike or walk,Counterclaim
"Yes, there are cars out there that are more ""fuel-efficient,"" ",Counterclaim
"Sure, people using less cars would strike a big blow in the automobile industry,",Counterclaim
" In many suburbs however the houses are much to far apart for them to be car-free,",Counterclaim
the only bad thing is that when they have children they are going to have to buy cars so they can beable to take their children were they need to get to like school or some kind of sports practice ,Counterclaim
" the only downside to this is that in cities buildings are farther away then they are like in passage 1 where as everything is in walking distance, but in cities that are meant for walking to different locations would cause a major problem with older adults",Counterclaim
" Some may argue that not having a car is stressful, ",Counterclaim
 having a car availible does have benefits.,Counterclaim
"i Believe we should find a new solution to cars other than just removing them from use. i Believe they should produce more electric cars. Yes, it may not go along with the american dream of having a roaring engine and a blower sticking out of the hood but it will save our planet one step at a time. And being a car lover i wouldnt want to see cars go but i think a change to electric would fine and helpful. ",Counterclaim
Basically what im trying to get across here is that all cars do is make us get to work faster ,Counterclaim
