discourse_text,discourse_type
yet they don't know their reaction time is slow as an elderly due to them paying attention to several things at once which causes a commotion in the brain. ,Rebuttal
That's only if you let the conversation be more important than your road safety. ,Rebuttal
"However, because of their habits, they can create dangerous and hazardous situations like a collision or an accident ",Rebuttal
" However, hands-free devices don't eliminate the risk of causing an accident and even may it worsen by suggesting that the behavior is safe. Research shows that using a headset can be as dangerous as holding a phone because the conversations distracts drivers from focusing on the road.",Rebuttal
"However, it is an illusion of safety because when people need it the most either they can't find it or reach it because they are stuck in a car.",Rebuttal
"In 2017, there were 34,247 distracted driving accidents and 15,341 that were aged between 15 and 29 were involved in fatal crashes while driving with a cell phone in hand. Therefore, some people may believe that using a cell phone while driving isn't dangerous, but the facts say otherwise. ",Rebuttal
This can be dangerous because they are risking their lives just to make a living and they don't even realize it.,Rebuttal
there are evidences that they are dangerous and people should avoid talking while driving and that it can wait until they get home.,Rebuttal
"However, because of their habits, they can create dangerous and scary situations like a collision or an accident. Business issues can be stressful and dangerous while driving because it can cause emotional reactions that can lead to tragedy. ",Rebuttal
here are some ways we can eliminate the use of cellphones while driving.,Rebuttal
having a set of eyes on the road is still better than none at all. ,Rebuttal
"Here's seven reasons to stop using your phone and driving it puts innocent lives at risk, it puts your life at risk, it is comparable to, if not worse than, driving under the influence ,you are more likely to crash, it's very easy to simply pull over, you are setting a bad example for children and it is often illegal.",Rebuttal
but they are still human. The average reaction time to visual stimulus is 0.25 sec. Drivers spend so much more than that looking at their phones by the time they realize what's happening it will be too late.,Rebuttal
 however in GPS requires attention of the driver ,Rebuttal
That's not true at all because driving takes in a lot of focus and concentration in order to be a successful driver,Rebuttal
everyone is not capable of this,Rebuttal
"but numbers don't lie. According to the NHTSA, there was a Tesla fatality every 86 million miles in 2017, which is 40,000 deaths. Now imagine the amount of accidents in cars that don't drive themselves. The National Safety Council reports that cell phone use while driving leads to 1.6 million crashes each year. ",Rebuttal
"However, with many perks comes many flaws ",Rebuttal
 but the impacts it can cause are huge.,Rebuttal
"If that is the case, then pull over to the side of the road, take the call, and then return to driving. If the call can wait, return it later. If it can't wait, you can always stop briefly. There should be no reason to pick up your phone while driving your car due to the hazard of the road you are putting your safety and other's safety at risk. ",Rebuttal
"Although some people support using cell phones while driving, there are evidences that they are dangerous and people should avoid talking while driving.
",Rebuttal
"However, because of their habits, they can create dangerous and hazardous situations like a collision or an accident. ",Rebuttal
"Unfortunately, people are also choosing the wrong time to be using their cell phones while they are driving.",Rebuttal
Though this is true people can multitask. ,Rebuttal
but some of them have admitted that they have been involved in an accident. ,Rebuttal
Using your phone while driving is a very dangerous thing to do because it can cause a lot of damage and can make some people pay lots of money.,Rebuttal
" However, there is no reliable scientific proof using your phone while being behind the wheel Makes you better at multitasking. There is scientific evidence that doing so does the exact opposite, which is why my claim that drivers should not be able to use their phone while driving. ",Rebuttal
"Therefor others of their habits, they can create dangerous and hazardous situations like a collision or an accident. ",Rebuttal
"However, hands-free devices don't eliminate the risk of causing an accident and even may it worsen by suggesting that the behavior is safe.",Rebuttal
but in reality texting and driving is. Even though you're under the influence you still have an idea of your surroundings and have caution. When it comes to texting and driving you're not aware at all of whats going on around you or can see what can happen. ,Rebuttal
"This, however, is not true. Even though the driver is using the device for navigation, the probability of an accident occurring when distracted is still 400%. The GPS defense will also be used as a justification for operating a phone while operating a vehicle. Through the form of loopholes, drivers will use the GPS excuse against police officers to avoid the ticket.
",Rebuttal
While these can be positive usage of your phone it can still be very negative.,Rebuttal
majority admit to still doing it anyway. ,Rebuttal
"But that can also distract them from the road as well, they could be in a very important conversation that can cause them to lose focus of what they're doing and they could end up in a bad car wreck",Rebuttal
"If that is the case, pull over to the side of the road, take the call and then retire driving. If the call can wait, return it later. If it can't wait, you can always stop briefly. There should be no reason to pick up your phone while driving your car. ",Rebuttal
"However, work can be stressful and while driving possibly dangerous. Resulting from an upsetting conversation you may be distracted and may lower your driving ability.",Rebuttal
"However, once drivers feel like they have the go ahead to use their cellphone in any capacity, some may still try to go above and beyond to break the rules. Using a phone at any capacity poses a huge risk for all people on the road. ",Rebuttal
Many would say that this is a reasonable excuse but risking the life of an innocent drier is not acceptable. ,Rebuttal
" I would say that the solution to the problem in that case are to only take away the use of handheld devices and allow the use of artificial intelligence,such as siri and alexa,and wireless headsets.
",Rebuttal
 it hasn't it only makes people have the urge to reach for their devices even more. ,Rebuttal
but the proof is in the statistics.,Rebuttal
" Business people should still use caution while driving. It's still not safe to be using your technology while driving in your vehicle.
",Rebuttal
 So we should allow the ones that drive safely and follow the law to be able to use their cell phones but only to a certain extent.,Rebuttal
So I believe that we should allow the ones who follow the law to use their cellphone's to a certain extent ,Rebuttal
"There are many reasons as to why cell phones could be useful; however, they are greatly outnumbered by the cons.",Rebuttal
"If that is the case, then pull over to the side of the road,take the call can wait ,return it later. if it can't wait,you can always stop briefly. there should be no reason to pick up your phone while driving your car.
",Rebuttal
I don't think they should be touching a wheel because having that mentality could get someone killed because they want to drive reckless. ,Rebuttal
" The odds of an accident happening due to using your phone while driving are insanely high, majority of the people would consider minimizing those chances by simply not using phones while driving, for the SAKE of your life, and our lives!",Rebuttal
but this does not eliminate the consequences the phones causes.,Rebuttal
A little more in depth on why this is still a dangerous thing to do.,Rebuttal
but your phone still needs your attention to use the hands free law,Rebuttal
"and it very may well have been, but if it wasn't an emergency then there is no reason to be on their phone ",Rebuttal
" it is a more viable and safe practice to prohibit its use until a person it not behind the wheel of a vehicle. A person only puts themselves in more danger, even when doing something appropriate with a cellphone when operating a vehicle, by trying to utilize it and maintain focus on the road at the same time. ",Rebuttal
"However,

hands free does not eliminate the risk of causing an accident.",Rebuttal
But according to the data ages 30-39 year olds are the main source of the deaths and drivers ages 15 - 19 had the highest percentage of distracted drivers - 16% of those involved in accidents were distracted. The percentage of fatalities linked to distracted drivers increased from 10% in 2005 to 16% in 2009. ,Rebuttal
but it's not worth the lives of innocent people. ,Rebuttal
"You're not paying attention to one or two things simultaneously, but switching between them very rapidly""",Rebuttal
", no they can't that's why you should always focus on the road. ",Rebuttal
", and that's how consequences come in. That is why a lot of accident be occurring so much, you guys be hurt so bad. There is always for teens getting hurt and dying because they wanted to have they phone and be on it while driving. ",Rebuttal
"but we be in the wrong cause we be on them cellphones while trying to drive. There has been a lot of teens dying than adults ,because of these cellular devices.
",Rebuttal
but that doesn't change the fact that many of teens and adults are at risk when you're behind the wheel.,Rebuttal
The driver needs to focus on the road at all times to ensure that his/her passengers or even just him/herself arrives to their destination on time.,Rebuttal
 Just calling and driving should not be an offense. As people talk and drive with each other all the time. And being on the cell phone is essentially the same thing.,Rebuttal
you could have taken someone else's life.,Rebuttal
". On the other hand there are disadvantages of using cell phones, they can easily get lost. Talking on cell phones are very expensive. In addition, cell phones are not useful while driving, drivers should pay attention to the road instead of getting distracted from a text or phone call. ",Rebuttal
it is a start for correction. ,Rebuttal
"If you were thinking this, you would be right. This does indeed reduce the risks caused by holding the phone and doing everything ""hands-on."" But, you are still going to be taking attention away from the road and putting it towards the phone when you give a command or you make a phone call.",Rebuttal
"However, people still need to know where they are going. Being able to get where people need to go is better than being stranded or having to pay for ""Ubers"" or other forms of public transportation. ",Rebuttal
"Phones may be dangerous but they are a necessity, whether it is on the road or in a vehicle. ",Rebuttal
"people still overlook them, and continue to put themselves and others at risk of accidents. ",Rebuttal
studies have shown that even with a hands-free device it adds distraction to the driver.,Rebuttal
there are many ways to prevent an accident. ,Rebuttal
"even though those have been shown not to eliminate the risk of getting into an accident. ""Device makers and auto companies acknowledge the risks of multitasking behind the wheel, but they aggressively develop and market gadgets that cause distractions.

They acknowledge these things happen but they still market things that will cause distractions and increase accident risk.",Rebuttal
"Blasphemy, making it hands free or not it is still distracting the driver that few seconds it takes to either answer the phone or to look at your radio could ruin your life, in fact just play music on the radio and sing along I promise it'll make the car trip more bearable.   ",Rebuttal
"but even if that is the case those teens should not be able to drive because as stated so many times now, it is unsafe to text/ look at your phone while operating a vehicle because it is unsafe.",Rebuttal
"Furthermore, using your GPS while driving is still dangerous because you are taking your eyes off of the road, even if it is only for a few seconds, it is still dangerous even though your using your GPS to help you out to get to your destination. Ultimately, using your phone while operating a vehicle is dangerous even if you are using your GPS to your benefit to help you out, it is still dangerous. ",Rebuttal
"However, they can create dangerous situations like a collision or accident.",Rebuttal
"Although, hand-free devices don't eliminate accidents it worsen it by suggesting this gesture is safe.",Rebuttal
When you need your cell phone the most it's hard to find because they are stuck in the car ,Rebuttal
but can also be dangerous on the road. ,Rebuttal
"Instead vehicles were used to kill others, or make people suffer. Vehicles increased the use of cell phones at an alarming rate.",Rebuttal
Completely banning cell phones though? That seems to be a stretch. Personally speaking I've lived in Georgia for two years and I still need the GPS to get around. Who has the time or patience to carry a map of georgia and pull it up to read it at every stop sign?,Rebuttal
"They are far from right. It has resulted in many fatalities all across the nation and is illegal in some states. Using a cellular device while driving is not only a risk for your own well being, but those around you as well.
",Rebuttal
"Many people take advantage of those so called,""excuses"". If you need to use the phone that badly, pull over and make the call. Don't risk the lives of others to call your best friend and tell her about your day. Being a distracted driver isn't okay and it isn't cool. Using a cell phone while driving is illegal in the state of Georgia, yet people do it anyways.",Rebuttal
"However, because of their habits, they can create dangerous and hazardous situations like a collision or an accident",Rebuttal
"However, hands-free devices don't eliminate the risk of causing an accident and even may it worsen by suggesting that the behavior is safe ",Rebuttal
but those are all false advertising because you do.,Rebuttal
but it doesn't mean that it hasn't happened to anyone else.,Rebuttal
but it also hurts use,Rebuttal
" However, because of their habits, they can create dangerous and risky situation or an accident ",Rebuttal
Simply because someone feels like they must respond to a text immediately is why many of the accidents occur and most of the time this lead to a vehicular accident that can result in death. ,Rebuttal
"It seems like to you, that you aren't as distracted when driving, but in reality, you still are distracted even when just talking on the phone",Rebuttal
"However, hands-free devices don't eliminate the risk of causing an accident and even may it worsen by suggesting that the behavior is safe",Rebuttal
"However, it lacks safety because when people need it the most either they can't find it or reach it because they are stuck in car",Rebuttal
phone have also had it's disadvantage.,Rebuttal
"""Hands-Free"" texting and driving only solves a minor part of a major problem. Before ""Hands-Free '' texting and driving was more of a sharpened skill because of the task of averting your hand(s) and eyes to type a message all without running into oncoming traffic or running into anyone else. In short, ""hands-free"" isn't a safe alternative to texting and driving. ",Rebuttal
"this however comes at a great cost, and the risks associated with this behavior could be fatal according to experts at a local university in Kansas.
",Rebuttal
they are hazardous and in some cases deadly when a vehicle is involved.,Rebuttal
 but it can be a matter of seconds and you hit a car or if in a intersection you hit someone walking. Don't text and drive ,Rebuttal
They think that they are above the rules . It is unfortunate that these people still text and drive when the consequences are so high. ,Rebuttal
"With the use of bluetooth and similar advances, you can do many things on a cell phone without even touching the phone.

For example, I can use voice to text or voice dial options to communicate with others while I am driving.

This is a safer option that always allows me to have both hands on the wheel. ",Rebuttal
"I also think that having laws such as limited or zero tolerance of cell phone usage while driving can create an even bigger problem.

Before it was a law in GA, I feel that I was a safer driver, even when using my phone.
",Rebuttal
"Yes it is a distraction, but what about in an emergency when you need to speak to either a law enforcement agency, medical provider, fire department or even a family emergency. Paper maps can be confusing and now that phones have a gps, that makes going from A to B such a breeze. Meaning you would have to follow the directions of your phone either way.",Rebuttal
 but that's not a reason to have their phone in their hand. ,Rebuttal
"but if they are driving with their phone in their hand something bad will happen to them.
",Rebuttal
but it does need to be one. ,Rebuttal
"I get you need your phone for business, social media, long distance calling or texting but that can wait.",Rebuttal
"Cell phones are today not just the form of communication, but also a distraction and harmful component. ",Rebuttal
"yet it may make less control the vehicle and less power to focus which leads to very serious consequences. Regardless of what period this driver is or how skilled they are, under no condition should they be using their cellphone while taking. ",Rebuttal
but that one second could make the difference of life or death. ,Rebuttal
but they will give you a better chance to be a safer and more focused driver without having to take your eyes off the road,Rebuttal
So just wait for an appropriate time to use the cellular device.,Rebuttal
"As I said before I believe that people shouldn't use their phones while driving, but if you look at it from another person's point of view you start to wonder if like what if the person is a person who is sick and needs to be checked on every now and then, or someone who has to have assistance on something. ",Rebuttal
Both distracted drivers and road rage are common to each other.,Rebuttal
"However, texting while driving is just stupid. There have been several occasions where police have recovered cell phones after a car crash and the Snapchat application was open and the speed detector filter was active. ",Rebuttal
"However, there are proof to show that cell phone should not be use while operating a motor vehicle. ",Rebuttal
"Because of this selfishness, they put other people life's in danger.",Rebuttal
"however, there are alternatives to it.
",Rebuttal
"By making conversation, writing messages, or just playing with the mobile increases the chances of accidents.",Rebuttal
"Later in the article, it is mentioned that regulation on cell phone use is reasonable as long as it is enforcement properly. ",Rebuttal
"However, hands-free devices don't eliminate the risk of causing an accident and it may even worsen the situation.",Rebuttal
"But that can cause serious safety risks if someone decides to check his or her text messages, emails, phone calls, or any other mobile applications while driving. ",Rebuttal
"However, not all are using them safely- having their phones in their lap, or next to them in a cupholder while looking at directions. ",Rebuttal
it is still considered dangerous and life-threatening. ,Rebuttal
but if you use the tools you can buy you can do it without having to look up.,Rebuttal
"but still at the same time, that's why you just turn your emergency lights on.",Rebuttal
"Learning how to text and drive is more dangerous than getting stuck at the top of a rollercoaster. Therefore, people should not text a drive ever.",Rebuttal
"I completely agree, if used incorrectly, cell phones can be detrimental to whoever is on the road with you, but one thing some of these advocates don't think about is the amount of people who are safer due to their phone ",Rebuttal
"While they do have more experience than new drivers, it does not mean they have mastered the task of driving while being distracted by their cell phone. This false idea many adults have leads to teenagers picking up on these habits",Rebuttal
" But even then I believe they shouldn't have their focus on it for more than a second. Calls should be made handsfree or bluetooth and directions should be entered before your departure ensues.
",Rebuttal
"Science begs a differ, during recent years it has been studied that texting while driving has become a huge epidemic. ",Rebuttal
 So there is no better decision than to simply postpone calls until you have arrived at your destination. ,Rebuttal
"but with the new technology, there are safer ways to answer the phone while driving ",Rebuttal
"Although that may be true, you are still more likely to use your phone regardless if its an emergency or not. States have been putting laws on phone uses which comes with fines. ",Rebuttal
If people don't give up cell- phones the number of people getting hurt on the road is going to increase drastically.,Rebuttal
"they probably have been living under a rock for the past couple of years because there has been this new feature that has been around for a couple years now it called ,hands-free feature.",Rebuttal
its also proven that using phones while driving driving may be beneficial. ,Rebuttal
" SOME* people though. I feel like that isn't bad at all, but texting while driving, looking down at your phone just aren't it. ",Rebuttal
"but, there is still a number of safety hazards to worry about when talking on the phone and driving.",Rebuttal
but the truth is those people truly can't. People claiming they can multitask or they know what they are doing are wrong and push a great risk. ,Rebuttal
"While this risk is undeniably present, restrictions on the use of phones is an action most states are implementing currently. The exact implementation differs from state to state, but most laws are ""Hands off"" laws, meaning that drivers can be pulled over and fined for driving for having one hand holding a phone.",Rebuttal
If the situation you are in isn't urgent then you shouldn't be driving and texting or on the phone checking social media or watching videos you need to watch the road.,Rebuttal
" but drivers shouldn't be checking their social media or texting while driving. This diverts their focus from what's happening on the road, leading to an accident. ",Rebuttal
"The constant use and over-reliance on phones have caused them to become very dependent on them. That means even while driving they are focusing on what's happening in the digital world on their phones, and not on the road they are driving on. ",Rebuttal
but the truth is that they are the ones that will probably cause that accident. ,Rebuttal
"however, this isn't the case. A poll done by the Huff Post revealed that 63% of drivers, aged between 18-29, text at red traffic lights. ",Rebuttal
"Another statistic showed that, ""More than 20 percent of distracted drivers age 15 to 19 involved in fatal crashes were distracted by cell phones...""(""Texting At A Red Light"", 4). ",Rebuttal
"They then have to learn the hard way, by wrecking.",Rebuttal
"That can only be helped by us humans putting down these devices while on the road, while there are laws in place, not everyone follows them, and officers can't always catch everyone.",Rebuttal
but it really is because it's dangerous. Some things that you think can't happen while your on your phone can happen to you or anyone.,Rebuttal
"but at the same time there is bluetooth and onstar for that reason exactly. It's not much you needing to be on the phone, you want to be on the phone, you're so use to it being in your hand that you constantly got to look down at it. ",Rebuttal
but any use of the device can cause a huge hazard to yourself and others ,Rebuttal
your reaction time is still slowed.,Rebuttal
but even for that split second something bad could happen.,Rebuttal
"If that is the case just pull over to the side of the road, take the call, then return to driving. If the call can wait, return it later. If it can't wait, you can always stop briefly. There should be no reason for you to pick up your phone while you're driving. ",Rebuttal
"but them mostly be the people that's being injured, most people lost their lives or end up being in car accidents because of driving while they were on their phone it's not safe and it will get you hurt . ",Rebuttal
"If it isn't one of those occasions, then you should not use your phone in a vehicle at all.
",Rebuttal
"However, this option is not completely hands free, as it requires the driver to either make an call or answer one.",Rebuttal
"Which could still be distracting to a driver trying to remember a phone number, rather than concentrating on the road. So no matter how your talking on the phone hands free or not it's never ok to be on your phone while driving.
",Rebuttal
"Well, you can awlays WALK to the public transportation area. Studies have shown that Americans are buying fewer cars, driving less, and getting fewer licenses. This leaves us wondering, ""Has Obama passed peak driving?"" ",Rebuttal
"This may be true, but if people use public transit then they are helping the environment even more than themselves. They would still have to walk to and from the bus stops. Which will decrease obesity although it may not be in as big of numbers as we would like.",Rebuttal
" but is better in the long run. You don't have traffic jams, you can go places and areas that cars couldn't fit through and you have many different ways of getting to a particular place rather than just a road ",Rebuttal
"But heres the thing, In section 3 Bogota Mayor Antanas Mockus said ""The rain hasn't stopped people from participating."" This means rain isn't a problem when walking on the streets ",Rebuttal
its good because they might think of building better cars like the hybrid so we wont have much pollution or wont have to use natural gas.,Rebuttal
if you carpool with people who are also going to the same place you save on gas money and you will also be helping the environment.,Rebuttal
but they still require lots of energy from the environment. ,Rebuttal
"but you don't neccesarily have to never drive a car again! What about on those long road trips, or when you have to carry a lot of passengers with you? A car would come in handy in such scenarios, but not neccesarily every scenario.",Rebuttal
though many areas are considering developments like this one so they can clean up the air. ,Rebuttal
 I do see this happening in small towns but cities would be more difficult to travel to unless they rebuilt everything within walking distance,Rebuttal
but having stress over the presence of traffic jams can over see any other kind of stress to be thought of. Heidren Walker and Andrew Selsky can both support that argument that having a car is a lead to stress that a reduction of cars can elimanate.,Rebuttal
"going without a car certainly has more pros than cons. There's less stress, it's cheaper, there's less traffic, it's healthier, and there's less pollution.",Rebuttal
but if you think about the cons ,Rebuttal
They say the rain hasn't stopped people from participating. ,Rebuttal
. But theres a down side if you go out to see what happend to you son in a hurry you probably going to have a car axcident and get seriously hurt or worst. Too many people use too many cars the streets are always crouded with cars at all times and some of these people drive crazy or they try to show of there car by going fast and end up getting killed or killing someone els. ,Rebuttal
"Benefically, ""stores are being placed a walk away, on a main street, rather than in malls along some distant highway.(Rosenthal 6)"". ",Rebuttal
 But the fact remains thats why the air is so polluted and why kids are so fat tyhese days. ,Rebuttal
"they could have gave people a warning and gave them a time line to find out how there were going to get around and make to far places they had to go. Not everyone has a bike, and alot of people have kids",Rebuttal
" it is better to go on a train, bike, skate, bus, taxi, carpool, or even walk because when you use a car too much you pollute the Earth",Rebuttal
but it has shown to be worth the extra time. ,Rebuttal
but this is for a greater good. So let's reduce our car usage and help our enviroment.            ,Rebuttal
" But there is evidence in the small town of Vauban, Germany; that life without cars is a very possible thing. ",Rebuttal
But people who stopped because of the recession may have no reason to restart that habit. ,Rebuttal
but thats exactly where public transportation comes in ,Rebuttal
"however, they don't think about how it can help the world around them. ",Rebuttal
 But there are many more cons that justify the right to limit car usage. ,Rebuttal
"However, when it comes to using a car limits to driving to a gas station 4 blocks away from where you live just for snacks, that's when things get out of hand. If you want to get somewhere, there are other ways besides cars that are safe and healthy for you. You could ride a bike, or even walk to where you want to go and still get the excersise you wouldn't get from using a car.",Rebuttal
But they are good sides of lowering car usage,Rebuttal
"David Goldberg, an offical of transportation for America said that in countries such as the U.S.A. 80% of appropriations have gone to highways. This ultimately sets the stone for the construstion of these lanes.",Rebuttal
"but nevertheless, with green house gases emitted from the tailpipes of cars ripping holes in the Earth's atmosphere, cars seem to be more of an impediment to the cause than an improvement. ",Rebuttal
well yeah you can do that but how will they learn for themselves? ,Rebuttal
but this will only cause the major destruction of our enviroment.,Rebuttal
" it can become a hastle when traffic comes into play. It also costs people lots of money when it comes to paying for gas, so an overall reduction of cars would fix all problems regarding stress.",Rebuttal
But even the idea of car-pooling can lessen the the use of cars. ,Rebuttal
"Although that may be reasonable, a testimomony from a businessman in Bogota explains that it's a good opportunity to take away stress and lower air pollution.
",Rebuttal
it does alot of harm to our planet as well. ,Rebuttal
" it stands that people are just happier this way. For example, Heidrum Walter is a media trainer and a mother of two says, ""when I had a car I was always tense. I'm much happier this way."" ",Rebuttal
 But it will save so many lives. ,Rebuttal
but although your body is comfortable are you really relaxed? i presume not! ,Rebuttal
 but if millions .. billions of people think the same way then thats billions of air polluting cars driving around the world polluting the air we breath to live! ,Rebuttal
" Cars are very handy i'll give it that,but sometimes they are unnecessary to use in certain situations. Peolpe like having a car for freedom and having their own transportation instead of relying on something else to get them around, but the thing is that we dont actually need cars that much for things.",Rebuttal
". But with that being said cars is not the only means of transportation, subways, railroads and buses are all possibilities too.  ",Rebuttal
"its also doing us a favor wether we like it or not, because constsntly breathing in polluated air is really bad for you it can have major affects on our lungs, and respotory system ",Rebuttal
"but on the other hand that community may be over populated or congested of cars. If this is so, then this will just have another negative impact of the environment. The purpose of the program is  to benefit the area you are and to lessen then the issue of car usages. All in all, the suburbs are taking action to create denser cities. ",Rebuttal
"We all own houses that cost so much! To be able to park your car you could have to buy a large enough garage, that would be at the end of your comuntiy that could cost up to $40,000. Why pay this outrageous amount to be the only one driving around your car-free city?",Rebuttal
This is a common question asked. We would be forced to put work establishments within walking distances.,Rebuttal
